# Week,HomeTm,VisTm,Date,Time
10,TB,ATL,11/9/2014,13:00:00
10,OAK,DEN,11/9/2014,16:05:00
10,ARI,STL,11/9/2014,16:25:00
10,SEA,NYG,11/9/2014,16:25:00
10,GB,CHI,11/9/2014,20:30:00
10,PHI,CAR,11/10/2014,20:30:00
11,MIA,BUF,11/13/2014,20:25:00
11,CAR,ATL,11/16/2014,13:00:00
11,CHI,MIN,11/16/2014,13:00:00
11,CLE,HOU,11/16/2014,13:00:00
11,GB,PHI,11/16/2014,13:00:00
11,KC,SEA,11/16/2014,13:00:00
11,NO,CIN,11/16/2014,13:00:00
11,NYG,SF,11/16/2014,13:00:00
11,STL,DEN,11/16/2014,13:00:00
11,WAS,TB,11/16/2014,13:00:00
11,SD,OAK,11/16/2014,16:05:00
11,ARI,DET,11/16/2014,16:25:00
11,IND,NE,11/16/2014,20:30:00
11,TEN,PIT,11/17/2014,20:30:00
12,OAK,KC,11/20/2014,20:25:00
12,ATL,CLE,11/23/2014,13:00:00
12,BUF,NYJ,11/23/2014,13:00:00
12,CHI,TB,11/23/2014,13:00:00
12,IND,JAX,11/23/2014,13:00:00
12,HOU,CIN,11/23/2014,13:00:00
12,MIN,GB,11/23/2014,13:00:00
12,NE,DET,11/23/2014,13:00:00
12,PHI,TEN,11/23/2014,13:00:00
12,SD,STL,11/23/2014,16:05:00
12,SEA,ARI,11/23/2014,16:05:00
12,DEN,MIA,11/23/2014,16:25:00
12,SF,WAS,11/23/2014,16:25:00
12,NYG,DAL,11/23/2014,20:30:00
12,NO,BAL,11/24/2014,20:30:00
13,DET,CHI,11/27/2014,12:30:00
13,DAL,PHI,11/27/2014,16:30:00
13,SF,SEA,11/27/2014,20:30:00
13,BUF,CLE,11/30/2014,13:00:00
13,IND,WAS,11/30/2014,13:00:00
13,HOU,TEN,11/30/2014,13:00:00
13,JAX,NYG,11/30/2014,13:00:00
13,MIN,CAR,11/30/2014,13:00:00
13,PIT,NO,11/30/2014,13:00:00
13,STL,OAK,11/30/2014,13:00:00
13,BAL,SD,11/30/2014,13:00:00
13,TB,CIN,11/30/2014,13:00:00
13,ATL,ARI,11/30/2014,16:05:00
13,GB,NE,11/30/2014,16:25:00
13,KC,DEN,11/30/2014,20:30:00
13,NYJ,MIA,12/1/2014,20:30:00
14,CHI,DAL,12/4/2014,20:25:00
14,CIN,PIT,12/7/2014,13:00:00
14,CLE,IND,12/7/2014,13:00:00
14,DET,TB,12/7/2014,13:00:00
14,JAX,HOU,12/7/2014,13:00:00
14,MIA,BAL,12/7/2014,13:00:00
14,MIN,NYJ,12/7/2014,13:00:00
14,NO,CAR,12/7/2014,13:00:00
14,TEN,NYG,12/7/2014,13:00:00
14,WAS,STL,12/7/2014,13:00:00
14,ARI,KC,12/7/2014,16:05:00
14,DEN,BUF,12/7/2014,16:05:00
14,PHI,SEA,12/7/2014,16:25:00
14,OAK,SF,12/7/2014,16:25:00
14,SD,NE,12/7/2014,20:30:00
14,GB,ATL,12/8/2014,20:30:00
15,STL,ARI,12/11/2014,20:25:00
15,ATL,PIT,12/14/2014,13:00:00
15,BUF,GB,12/14/2014,13:00:00
15,CAR,TB,12/14/2014,13:00:00
15,CLE,CIN,12/14/2014,13:00:00
15,IND,HOU,12/14/2014,13:00:00
15,DET,MIN,12/14/2014,13:00:00
15,KC,OAK,12/14/2014,13:00:00
15,NE,MIA,12/14/2014,13:00:00
15,NYG,WAS,12/14/2014,13:00:00
15,BAL,JAX,12/14/2014,13:00:00
15,TEN,NYJ,12/14/2014,16:05:00
15,SD,DEN,12/14/2014,16:05:00
15,SEA,SF,12/14/2014,16:25:00
15,PHI,DAL,12/14/2014,20:30:00
15,CHI,NO,12/15/2014,20:30:00
16,JAX,TEN,12/18/2014,20:25:00
16,SF,SD,12/20/2014,16:30:00
16,WAS,PHI,12/20/2014,16:30:00
16,CAR,CLE,12/21/2014,13:00:00
16,CHI,DET,12/21/2014,13:00:00
16,HOU,BAL,12/21/2014,13:00:00
16,MIA,MIN,12/21/2014,13:00:00
16,NO,ATL,12/21/2014,13:00:00
16,NYJ,NE,12/21/2014,13:00:00
16,PIT,KC,12/21/2014,13:00:00
16,TB,GB,12/21/2014,13:00:00
16,STL,NYG,12/21/2014,16:05:00
16,DAL,IND,12/21/2014,16:25:00
16,OAK,BUF,12/21/2014,16:25:00
16,ARI,SEA,12/21/2014,20:30:00
16,CIN,DEN,12/22/2014,20:30:00
17,ATL,CAR,12/28/2014,13:00:00
17,GB,DET,12/28/2014,13:00:00
17,HOU,JAX,12/28/2014,13:00:00
17,KC,SD,12/28/2014,13:00:00
17,MIA,NYJ,12/28/2014,13:00:00
17,MIN,CHI,12/28/2014,13:00:00
17,NE,BUF,12/28/2014,13:00:00
17,NYG,PHI,12/28/2014,13:00:00
17,TEN,IND,12/28/2014,13:00:00
17,PIT,CIN,12/28/2014,13:00:00
17,BAL,CLE,12/28/2014,13:00:00
17,TB,NO,12/28/2014,13:00:00
17,WAS,DAL,12/28/2014,13:00:00
17,DEN,OAK,12/28/2014,16:25:00
17,SEA,STL,12/28/2014,16:25:00
17,SF,ARI,12/28/2014,16:25:00
